Right Ascension,Declination,Gaia ID,unWISE ID,Parallax,Parallax Error,Proper Motion - Right Ascension,Proper Motion - Right Ascension Error,Proper Motion - Declination,Proper Motion - Declination Error,Parallax Significance,Proper Motion Significance,Galactic E(B-V) Reddening,Number of Observations for G-Band Photometry,Gaia G-Band Mean Magnitude,Gaia BP-Band Mean Magnitude,Gaia RP-Band Mean Magnitude,unWISE W1 Band Magnitude,unWISE W2 Band Magnitude,BP-G Color,BP-RP Color,G-RP Color,G-W1 Color,Gaia-unWISE Separation,W1-W2 Color,G-Band Variation,BP/RP Excess Factor,Astronomic Excess Noise,Goodness-of-fit,"Gaia Sources Within 1"" Radius","Gaia Sources Within 2"" Radius","Gaia Sources Within 4"" Radius",Gaia Sources Within 8' Radius,"Gaia Sources Within 16"" Radius","Gaia Sources Within 32"" Radius",Photometric Redshift Predicted,AGN Probability,Number of Sectors
123.8769765,-65.16845131,5276286066654347008,b'1223m652o0021858',-0.104942845,0.075745225,0.057962633,0.163694639,-0.199969561,0.144100983,1.385471434,1.432167268,0.155986995,394,16.5803557,16.58817336,16.32755008,12.34885025,11.11525631,0.00781766,0.260623281,0.252805621,4.231505454,0.079485249,1.233593941,0.025808786,1.241240025,0.105690069,0.96686101,1,1,1,1,2,8,0.661356187,1,6
100.4366096,-52.51851275,5501402684366012800,b'1010m531o0031852',-0.02351246,0.053187696,-0.107134816,0.110481227,-0.032274489,0.134280482,0.442065771,0.999053237,0.062375002,228,16.71225523,16.85747696,16.34650521,12.9614315,11.66474533,0.145221723,0.510971744,0.365750021,3.750823732,0.095934104,1.296686172,0.018425231,1.23277998,0,0.749238014,1,1,1,1,3,6,1.004195623,1,6
66.86863913,-57.24718557,4775286579772254592,b'0664m576o0026709',-0.101543206,0.054371678,0.195508119,0.114889509,0.059664832,0.119329952,1.867575346,1.773640516,0.011536,223,16.80725306,16.97747779,16.42292813,13.76837158,12.35907173,0.17022473,0.554549661,0.384324931,3.03888148,0.047784038,1.40929985,0.024750219,1.232789993,0,-1.169270039,1,1,1,1,1,3,1.636899139,1,6
109.5977498,-57.50620788,5486704279784424320,b'1107m576o0023299',-0.197729801,0.072804586,-0.048210774,0.145474425,-0.018831344,0.138644967,2.715897603,0.358157339,0.148761004,204,16.8587147,16.88921723,16.41151074,13.19590187,12.08463573,0.030502528,0.477706501,0.447203958,3.662812828,0.045239262,1.111266136,0.05370859,1.344210029,0,0.531857014,1,1,1,1,2,7,0.553484332,1,6
126.4037457,-73.52410045,5220116759234285824,b'1270m743o0042929',-0.037255716,0.084773887,0.012257107,0.1393135,0.304773541,0.188389863,0.439471596,1.620171669,0.127416998,240,16.86740305,16.89402557,16.39740256,12.41862392,11.55877686,0.026622522,0.496622037,0.470000483,4.448779121,0.03198128,0.859847069,0.091040439,1.362149954,0.384781183,3.651859999,1,1,1,1,2,2,0.236252903,0.99,6
67.03803599,-57.62768652,4775262807129285760,b'0664m576o0017532',0.037673472,0.065637212,0.358574975,0.135177397,-0.207826163,0.150690603,0.573965141,2.989732049,0.015466,220,16.88237854,16.87661438,16.39501879,11.91584682,10.81507587,-0.005764167,0.481595524,0.487359754,4.966531719,0.023941811,1.10077095,0.045551036,1.402529955,0.234700742,2.314039946,1,1,1,1,1,2,0.295564248,1,6
69.64300938,-56.29358487,4775665189729791744,b'0693m561o0012300',-0.02969911,0.075463753,-0.024212104,0.150013931,0.062643933,0.220030542,0.393554632,0.327271971,0.014339,171,16.92508374,17.06206055,16.56187215,13.48091793,12.42865372,0.136976813,0.500188418,0.36321159,3.444165808,0.056846027,1.052264214,0.04254708,1.240059972,0.143839941,0.648339987,1,1,1,1,1,1,0.867644343,1,6
105.0326705,-54.94053569,5485308552851781376,b'1046m546o0009814',-0.069376228,0.059331543,-0.333501651,0.143785818,-0.11166248,0.123014493,1.169297555,2.490727636,0.098518997,280,16.93482173,17.1074829,16.57495289,13.98544407,12.66117382,0.172661171,0.532530014,0.359868843,2.949377662,0.074639946,1.324270248,0.019278806,1.212450027,0.086293863,1.447679996,1,1,1,1,2,4,1.68361172,1,6
75.25185877,-54.44716965,4770808548086674688,b'0765m546o0020558',0.087633532,0.071187578,-0.222134505,0.143770308,0.156524606,0.142210433,1.231022809,1.897015485,0.020558,186,17.00330761,17.18136942,16.65174651,14.24299908,13.07179546,0.178061806,0.529623918,0.351561099,2.760308533,0.135020246,1.171203613,0.049640934,1.209390044,0,-0.165942997,1,1,1,1,2,4,1.810387403,1,6
58.99824676,-61.07452168,4679723183775664640,b'0600m606o0006169',-0.072598156,0.07161239,-0.249033117,0.131091014,-0.264431522,0.150899366,1.013765291,2.584501256,0.028589999,347,17.08050075,17.29337888,16.45788014,12.13638783,10.97809887,0.212878131,0.835498749,0.622620603,4.94411292,0.035354831,1.158288956,0.08884836,1.359529972,0.384459801,5.773429871,1,1,1,1,1,2,0.397375645,1,6
